PCA_Component_1,PCA_Component_2,kategori
-0.0874433147854378,0.0432788679169594,Finance
-0.0452304856408478,-0.0524476049245103,Finance
-0.0892568908039347,0.0019447490070328,Finance
-0.0475515242097441,-0.0538995760051741,Finance
-0.11164425127522,-0.0240200639614542,Finance
-0.102464852074262,0.0678134441626699,Finance
-0.18995406564656,0.064893814188608,Finance
-0.0476865563610018,-0.0245227961448749,Finance
-0.207392258043712,0.00523631646399014,Finance
-0.0914825072429562,-0.0265535869111179,Finance
-0.08206666270294,-0.0685709484125667,Finance
-0.211254313826286,0.461639489017097,Finance
-0.0452014783918096,-0.0642433272601346,Finance
-0.0658268411522324,-0.0331747799368878,Finance
-0.117764707494457,-0.0228385786766322,Finance
-0.0876293073160343,-0.0495902160621999,Finance
-0.0704121726674754,-0.0349709162380512,Finance
-0.165287960175106,0.000535588354940394,Finance
-0.0622991569986671,-0.043832846156422,Finance
-0.037757141035214,-0.0114823937358534,Finance
-0.116216614860067,-0.0500156033069993,Finance
-0.212322571204936,0.0201174345345283,Finance
-0.199065195637705,0.0813962320389134,Finance
-0.0372924585455904,-0.0523130370061719,Finance
-0.0667954883864574,-0.0402488085122533,Finance
-0.0710610404953654,-0.0467082137101898,Finance
-0.200492311086016,0.389495085104126,Finance
-0.163913812866723,0.0486248888775623,Finance
-0.0722069238739436,-0.0443995338166714,Finance
-0.0774950576218448,-0.0218666312079682,Finance
-0.182347223236567,0.302524832519816,Finance
-0.0662201619828475,-0.042195763115887,Finance
-0.0838219224262936,-0.0424529606646546,Finance
-0.268115565877149,0.629353656403803,Finance
-0.229032401693074,0.0650618637788402,Finance
-0.0734822487985991,0.00899050675643701,Finance
-0.282031564710493,0.674298330832347,Finance
-0.192537565968694,0.398307354727249,Finance
-0.0711760505851449,-0.0463160464550024,Finance
-0.0714193255718339,0.0138474464479258,Finance
-0.254679392262953,0.0775675655371004,Finance
-0.258125968579542,0.61401585210297,Finance
-0.0549342051010309,-0.042800559930642,Finance
-0.257605470330019,0.619536292251939,Finance
-0.259528019407556,0.625617303788259,Finance
-0.2785351881459,0.711922007998727,Finance
-0.0929890383138051,0.0639581609552292,Finance
-0.272163117443802,0.694263878079386,Finance
-0.258295844547166,0.0938940757199945,Finance
-0.0606921311591453,-0.0365715940449817,Finance
-0.0691662674747006,-0.0146549301723469,Finance
-0.0552445364820055,-0.0748135993368082,Finance
-0.143856741928984,-0.000918365707521973,Finance
-0.102349316975273,-0.0191155445963514,Finance
-0.0655209733952576,-0.0456479559845945,Finance
-0.0276491170642316,-0.0389377111540346,Finance
-0.0521505751634053,-0.081454118815762,Finance
-0.0692712164683341,-0.0466249636619359,Finance
-0.0745940868942819,-0.0657898429358922,Finance
-0.0363546934799287,-0.0572355697817859,Finance
-0.0543949547676273,-0.046811133316647,Finance
-0.0751898359674793,-0.0584889954316267,Finance
-0.0747112958272863,-0.00224023985256927,Finance
-0.173525980385215,0.0591113785095848,Finance
-0.0495450006986879,-0.0377065121335561,Finance
-0.149867214417345,0.00532120694425509,Finance
-0.141761728319608,0.040347340001657,Finance
-0.0695346151117546,-0.0374274363112698,Finance
-0.227633048143787,0.0958961614451723,Finance
-0.0889185227545337,-0.0391396414142672,Finance
-0.0532855392472097,-0.0536027100688688,Finance
-0.0558426420723314,-0.0277621847441752,Finance
-0.072869778641081,-0.0203790554899196,Finance
-0.0622884653295649,-0.053487558669852,Finance
-0.154726576245487,-0.0106018815935644,Finance
-0.105011033190164,0.0880094684908893,Finance
-0.203414045605173,0.028229502191806,Finance
-0.0816461880425433,-0.0640458732290097,Finance
-0.068697866180438,-0.0587199527009621,Finance
-0.0735746104479606,-0.0473412666321455,Finance
-0.0900495315158636,0.0249442991989126,Finance
-0.0686712279526233,-0.0385294045053403,Finance
-0.0598961326505335,-0.0567831281195101,Finance
-0.0905157791741901,-0.0275253774286091,Finance
-0.0771235357085759,-0.0333128430758445,Finance
